2008	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Dec	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
18	0	0	0	0	0	0	100	100	100	1018	1018	1017	10	10	10	10	10	-	0.00	 
19	1	-1	-2	0	-1	-3	100	96	93	1022	1017	1015	10	8	1	21	14	-	0.00	Snow
20	2	0	-1	2	1	-2	100	97	93	1022	1018	1016	10	6	2	24	16	48	0.00	Rain , Snow
21	4	2	0	4	0	-3	100	89	75	1028	1026	1021	10	8	1	23	14	42	0.00	Rain
22	6	4	3	5	3	0	100	93	81	1027	1025	1022	10	9	3	29	21	50	0.00	Rain
23	4	2	1	1	-1	-2	93	82	70	1031	1029	1027	10	10	10	21	16	40	0.00	Rain
24	3	2	1	3	2	0	100	95	87	1031	1026	1022	10	8	4	21	13	37	0.00	Rain
25	1	-2	-5	0	-4	-8	93	82	64	1035	1029	1023	10	10	10	27	14	45	0.00	Rain , Snow
26	-4	-7	-8	-6	-7	-9	93	87	80	1037	1036	1035	10	10	10	19	13	-	0.00	 
27	-3	-4	-5	-6	-7	-8	93	84	74	1035	1033	1032	10	9	6	21	14	-	0.00	 
28	-4	-7	-9	-7	-8	-11	100	85	69	1032	1030	1029	10	9	6	23	16	-	0.00	 
29	-3	-7	-10	-8	-9	-11	100	88	59	1033	1031	1029	10	7	4	19	11	-	0.00	 
30	-3	-7	-10	-8	-9	-11	100	87	59	1033	1031	1029	10	7	5	14	8	-	0.00	 
31	-6	-9	-11	-8	-11	-13	100	91	80	1029	1025	1021	7	5	3	10	5	-	0.00	 
