2013	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	6	2	-1	3	-1	-3	93	80	57	1011	1008	1006	10	10	10	14	6	-	0.00	Rain
2	4	2	0	3	-1	-3	93	86	80	1027	1020	1010	10	10	10	24	14	37	0.00	Rain
3	4	2	1	4	1	-3	100	93	75	1029	1027	1026	10	5	1	26	18	45	0.00	Fog , Rain , Snow
4	7	6	5	7	5	3	100	94	87	1030	1028	1023	10	9	1	27	21	39	0.00	Rain
5	7	6	4	6	4	3	100	91	81	1027	1025	1023	10	10	6	39	21	-	0.00	Rain
6	5	4	3	4	3	2	100	95	87	1026	1023	1020	10	8	3	27	19	-	0.00	Rain
7	5	3	2	4	2	1	93	92	87	1026	1025	1022	10	10	5	23	11	-	0.00	 
8	4	3	2	3	2	2	100	95	87	1025	1022	1020	10	6	1	19	10	-	0.00	Rain
9	4	3	1	3	2	0	100	93	81	1022	1017	1011	10	8	2	19	10	35	0.00	Rain , Snow
10	1	0	0	0	-1	-2	93	90	81	1011	1008	1004	10	9	3	24	19	-	0.00	Rain , Snow
11	0	-2	-5	-1	-7	-9	100	83	74	1014	1010	1004	10	9	3	23	16	-	0.00	Snow
12	-4	-8	-12	-7	-9	-14	93	82	64	1015	1014	1013	10	9	3	11	8	-	0.00	Snow
13	-5	-9	-13	-7	-9	-14	93	85	74	1015	1014	1013	10	10	6	14	5	-	0.00	Snow
14	-4	-6	-6	-6	-7	-8	93	90	86	1013	1010	1009	10	7	1	16	10	-	0.00	Snow
15	-4	-8	-12	-6	-8	-13	93	88	74	1009	1006	1004	10	9	5	13	6	-	0.00	Snow
16	-5	-6	-6	-6	-7	-7	93	91	86	1005	1004	1003	10	7	3	10	5	-	0.00	Snow
17	-3	-4	-5	-6	-7	-8	93	84	74	1010	1007	1005	10	8	4	16	6	-	0.00	Snow
18	-5	-7	-8	-7	-8	-9	93	86	80	1010	1006	1002	10	9	5	13	6	-	0.00	Snow
19	-8	-9	-9	-9	-10	-10	93	89	86	1001	998	996	10	7	5	21	13	-	0.00	Snow
20	-6	-8	-9	-7	-8	-10	100	93	86	997	995	994	6	4	2	21	13	-	0.00	Rain , Snow
21	-4	-6	-6	-4	-6	-7	100	94	86	998	995	994	7	3	0	11	5	-	0.00	Fog , Snow
22	-3	-4	-6	-4	-6	-7	100	92	86	1004	1001	998	7	3	1	8	5	-	0.00	 
23	-3	-4	-5	-3	-5	-6	100	96	93	1005	1004	1003	3	1	0	11	3	-	0.00	Fog , Snow
24	-5	-6	-7	-5	-7	-8	100	94	93	1012	1007	1005	6	2	0	10	3	-	0.00	Fog , Snow
25	-7	-9	-10	-8	-10	-11	93	87	80	1016	1015	1012	8	5	4	14	6	-	0.00	Snow
26	-7	-9	-11	-9	-11	-12	93	88	79	1014	1012	1011	8	6	4	14	10	-	0.00	Snow
27	-2	-4	-7	-3	-5	-9	100	94	86	1011	1007	1004	10	4	1	14	8	-	0.00	Snow
28	2	-1	-3	0	-1	-3	100	93	87	1016	1012	1005	10	8	1	19	13	-	0.00	Snow
29	5	3	1	4	2	-1	100	92	81	1015	1011	1010	10	8	2	23	16	45	0.00	Rain , Snow
30	10	8	5	8	7	4	100	91	87	1011	1008	1004	10	10	7	34	21	60	0.00	Rain
31	5	4	3	2	-1	-2	87	74	61	1014	1011	1007	10	10	10	32	23	61	0.00	Rain
2013	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Feb	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	4	2	1	1	1	0	100	88	75	1009	1003	990	10	10	8	26	16	40	0.00	Rain , Snow
2	2	-1	-3	2	-1	-7	100	90	74	1005	995	987	10	8	1	23	11	-	0.00	Rain , Snow
3	-1	-3	-4	-2	-4	-6	93	82	69	1012	1010	1006	10	9	1	26	14	42	0.00	Snow
4	3	0	-2	2	-1	-3	100	95	86	1007	1006	1005	10	5	1	26	19	47	0.00	Rain , Snow
5	4	1	-1	1	-1	-3	93	84	70	1008	999	996	10	9	1	24	16	47	0.00	Rain , Snow
6	0	-2	-3	-3	-5	-7	93	77	60	999	997	996	10	9	2	19	6	-	0.00	Snow
7	0	-2	-5	-3	-4	-6	100	87	64	1007	1004	1000	10	9	1	26	10	-	0.00	Snow
8	-1	-3	-6	-4	-6	-7	100	86	64	1010	1008	1007	10	9	1	13	8	-	0.00	Snow
9	-2	-6	-8	-6	-7	-9	93	84	69	1015	1013	1010	10	10	5	11	6	-	0.00	Snow
10	-3	-7	-12	-6	-9	-13	100	86	64	1014	1012	1009	10	7	0	11	3	-	0.00	Fog , Snow
11	-5	-7	-9	-7	-9	-12	86	82	74	1008	1005	1003	10	9	7	29	18	-	0.00	 
12	-4	-4	-5	-5	-7	-8	100	89	80	1010	1006	1003	10	6	2	21	13	-	0.00	Snow
13	-3	-4	-6	-6	-7	-8	93	82	69	1023	1018	1011	10	10	6	13	6	-	0.00	Snow
14	-2	-4	-6	-4	-6	-7	100	85	74	1023	1020	1016	10	9	3	11	3	-	0.00	 
15	1	-1	-3	-4	-5	-6	93	80	60	1018	1015	1014	10	8	4	11	5	-	0.00	 
16	1	-1	-3	-1	-2	-5	100	91	80	1021	1020	1019	9	4	1	8	5	-	0.00	Rain , Snow
17	0	-1	-2	-1	-2	-3	100	96	93	1021	1021	1020	10	3	1	13	5	-	0.00	Fog , Snow
18	-1	-2	-3	-3	-3	-5	100	89	80	1020	1018	1016	10	8	3	10	3	-	0.00	Snow
19	-1	-2	-4	-2	-4	-6	93	89	80	1016	1010	1008	10	6	1	21	14	-	0.00	Snow
20	-3	-4	-6	-5	-7	-9	93	83	69	1017	1016	1013	10	7	1	19	11	-	0.00	Snow
21	-5	-9	-12	-8	-9	-13	93	84	68	1017	1016	1015	10	9	2	14	6	-	0.00	Snow
22	-7	-8	-9	-8	-10	-12	93	85	74	1014	1010	1008	10	4	1	21	14	-	0.00	Snow
