2012	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	9	4	1	8	4	0	100	92	87	1015	1014	1013	10	9	5	26	14	-	0.00	Rain , Snow
2	11	8	6	8	6	3	93	83	71	1016	1010	1007	10	10	10	35	18	-	0.00	Rain
3	8	6	4	3	1	-2	87	72	53	1021	1016	1008	10	10	10	50	23	69	0.00	 
4	8	6	3	5	1	-2	87	74	61	1015	1011	1007	10	10	10	47	34	66	0.00	Rain
5	6	3	2	3	1	-2	93	81	70	1010	991	983	10	10	9	64	45	84	0.00	Rain , Snow
6	4	2	1	-1	-3	-4	81	70	60	1017	1004	988	10	10	10	48	37	71	0.00	 
7	3	2	1	1	-1	-3	93	84	70	1017	1012	1008	10	9	3	48	29	64	0.00	Rain , Snow
8	4	3	2	1	1	0	93	85	75	1017	1013	1010	10	10	10	32	23	-	0.00	Rain
9	4	2	1	2	1	0	100	90	75	1023	1021	1017	10	10	7	27	18	-	0.00	Rain , Snow
10	5	3	2	3	0	-2	93	78	65	1031	1027	1021	10	10	10	37	26	-	0.00	Rain
11	7	4	2	3	1	0	87	81	71	1031	1030	1028	10	10	10	29	19	-	0.00	Rain
12	7	3	1	3	2	-1	93	81	71	1029	1021	1013	10	10	5	53	31	66	0.00	Rain , Snow
13	3	1	0	0	-2	-4	93	85	65	1016	1015	1014	10	8	1	42	29	63	0.00	Rain , Snow
14	1	0	-1	-2	-4	-6	87	74	60	1020	1018	1016	10	10	3	40	27	48	0.00	Snow
15	1	-1	-3	-4	-6	-8	86	71	56	1024	1021	1019	10	10	10	26	16	-	0.00	Snow
16	0	-3	-7	-3	-6	-9	86	79	69	1025	1024	1023	10	10	10	24	11	-	0.00	Snow
17	2	0	-1	-1	-2	-3	100	85	75	1028	1025	1023	10	9	4	23	18	-	0.00	Snow
18	3	-1	-4	-2	-5	-8	87	68	48	1028	1026	1020	10	10	10	48	18	-	0.00	 
19	5	2	0	4	1	-5	93	89	56	1020	1014	1008	10	9	4	48	35	-	0.00	Rain , Snow
20	3	1	0	0	-1	-3	100	84	65	1011	1008	1005	10	9	1	39	19	39	0.00	Rain , Snow
21	4	1	-1	3	-1	-3	100	87	75	1013	1007	997	10	8	1	40	23	-	0.00	Rain , Snow
22	5	3	1	2	1	-1	93	83	65	1004	1002	998	10	10	3	52	32	64	0.00	Rain , Snow
23	5	3	1	2	0	-2	93	81	61	1012	1009	1001	10	10	6	47	32	64	0.00	Rain
24	3	0	-2	1	-1	-2	100	94	81	1020	1016	1012	10	6	1	23	13	-	0.00	Rain , Snow
25	1	-1	-3	-1	-3	-5	100	90	70	1023	1022	1020	10	8	5	11	6	-	0.00	Snow
26	-1	-4	-7	-5	-6	-9	93	83	64	1023	1023	1022	10	9	6	13	8	-	0.00	 
27	-2	-6	-10	-6	-8	-11	100	85	69	1026	1025	1023	9	7	5	11	6	-	0.00	 
28	-2	-4	-6	-4	-6	-7	93	87	80	1027	1027	1026	9	6	3	14	8	-	0.00	 
29	-1	-4	-7	-4	-7	-8	93	82	69	1028	1027	1027	10	8	5	26	13	-	0.00	 
30	0	-4	-8	-8	-9	-12	86	73	55	1028	1028	1027	9	7	5	24	18	-	0.00	 
31	-3	-7	-11	-9	-12	-14	86	72	55	1027	1026	1024	8	8	7	34	21	-	0.00	 
2012	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Feb	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-6	-10	-14	-14	-16	-17	85	67	46	1028	1027	1026	9	8	6	27	14	-	0.00	 
2	-9	-13	-17	-17	-18	-19	85	68	49	1030	1029	1028	9	7	5	24	13	-	0.00	 
3	-10	-14	-19	-16	-18	-21	85	73	62	1033	1031	1030	9	8	6	11	6	-	0.00	 
4	-8	-12	-16	-13	-16	-18	92	81	58	1034	1033	1033	10	10	7	16	10	-	0.00	Snow
5	-9	-13	-16	-14	-16	-20	85	75	58	1033	1032	1031	10	10	8	14	8	-	0.00	Snow
6	-11	-15	-19	-17	-19	-22	85	72	57	1032	1031	1030	9	7	5	21	8	-	0.00	 
7	-11	-13	-15	-14	-16	-18	85	80	72	1034	1031	1030	10	6	1	24	19	-	0.00	Snow
8	-7	-11	-14	-12	-14	-16	92	80	68	1035	1034	1032	8	6	4	13	8	-	0.00	 
9	-6	-10	-13	-8	-11	-16	93	86	79	1032	1028	1025	7	4	1	27	11	-	0.00	Snow
10	-9	-13	-18	-13	-16	-19	92	80	67	1036	1034	1032	10	6	4	14	11	-	0.00	Snow
11	-10	-15	-20	-15	-18	-22	92	81	62	1034	1031	1029	8	6	4	13	6	-	0.00	 
12	-6	-14	-22	-15	-18	-24	85	74	49	1030	1027	1024	9	7	4	16	8	-	0.00	 
13	-5	-10	-14	-8	-11	-19	86	79	67	1024	1019	1015	10	8	3	24	18	-	0.00	Snow
14	-1	-6	-9	-3	-7	-11	93	82	69	1015	1012	1005	10	7	4	40	14	-	0.00	Snow
15	2	0	-1	-1	-3	-6	93	80	60	1006	998	992	10	6	1	58	40	76	0.00	Rain , Snow
16	0	-2	-3	-3	-6	-9	86	70	51	1020	1016	1007	10	10	5	42	29	-	0.00	Snow
17	4	1	-1	2	1	-2	93	90	81	1019	1017	1015	10	9	5	37	27	-	0.00	Rain , Snow
18	6	3	1	2	1	0	93	86	75	1019	1016	1012	10	10	8	34	19	-	0.00	 
19	4	2	0	2	0	-4	93	82	65	1023	1013	1009	10	10	10	29	21	-	0.00	Rain
20	2	-1	-4	-2	-4	-7	93	76	52	1033	1030	1023	10	10	10	23	16	-	0.00	 
21	3	-1	-5	-2	-5	-8	86	74	56	1033	1030	1028	10	10	10	29	16	-	0.00	Snow
22	6	3	1	2	1	-2	93	86	75	1030	1028	1022	10	9	8	24	19	-	0.00	Rain
23	5	3	1	2	0	-5	93	77	49	1022	1019	1016	10	10	10	48	27	42	0.00	Rain
24	10	7	4	6	4	3	93	85	76	1021	1020	1018	10	10	10	47	35	-	0.00	 
25	9	7	4	5	1	-1	87	69	53	1021	1018	1016	10	10	10	35	26	53	0.00	Rain
26	4	1	-1	1	-2	-6	93	78	65	1023	1018	1015	10	10	8	34	21	47	0.00	Rain , Snow
27	5	0	-4	-1	-4	-8	86	69	45	1025	1023	1021	10	10	10	23	13	-	0.00	 
28	7	4	2	5	2	-1	93	87	81	1021	1018	1016	10	10	7	35	24	-	0.00	Rain
29	12	9	7	8	7	5	93	84	72	1024	1020	1016	10	10	10	35	21	-	0.00	 
2012	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Mar	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	13	9	4	8	7	4	100	88	72	1024	1024	1023	10	10	7	19	10	-	0.00	 
