1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jul	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	17	13	11	12	11	9	100	83	68	1009	1007	1006	10	10	8	32	23	50	0.00	Rain
2	18	14	11	11	9	8	100	73	55	1012	1010	1008	10	10	10	29	18	-	0.00	 
3	21	16	10	10	8	7	87	66	40	1015	1014	1012	10	10	10	14	11	-	0.00	 
4	24	17	10	16	12	8	88	75	53	1014	1014	1013	10	10	10	26	14	43	0.00	 
5	25	20	15	18	16	14	94	79	61	1015	1011	1002	10	9	3	58	14	76	0.00	Rain , Thunderstorm
6	19	14	10	15	13	9	94	84	68	1010	1006	1004	10	10	10	29	18	-	0.00	Rain
7	17	13	10	11	9	9	94	78	59	1011	1009	1006	10	10	10	18	13	-	0.00	Rain
8	14	11	9	13	11	8	100	92	82	1008	1001	997	10	9	2	40	18	61	0.00	Rain
9	14	11	9	9	8	6	100	81	63	1018	1014	1008	10	10	10	35	26	58	0.00	Rain
10	17	13	10	12	10	8	94	81	68	1020	1018	1017	10	10	8	26	16	-	0.00	Rain
11	15	11	8	13	10	7	100	88	63	1022	1020	1018	10	7	3	18	11	-	0.00	Rain
12	21	17	14	16	14	13	100	86	64	1019	1017	1016	10	9	5	26	14	-	0.00	Rain
13	24	19	14	17	15	13	100	82	53	1023	1021	1019	10	9	4	14	10	-	0.00	Rain
14	27	21	15	18	16	14	94	75	54	1026	1024	1023	10	10	10	21	13	-	0.00	 
15	21	17	14	18	15	10	94	86	77	1025	1024	1023	10	10	9	18	8	-	0.00	 
16	16	12	9	10	8	7	94	75	55	1026	1026	1025	10	10	10	21	13	50	0.00	 
17	18	12	7	9	8	6	100	74	49	1027	1025	1022	10	10	10	14	11	-	0.00	 
18	14	12	10	10	8	6	88	74	63	1022	1021	1020	10	10	10	26	14	-	0.00	 
19	17	12	8	9	7	5	93	72	48	1026	1025	1022	10	10	10	21	13	-	0.00	 
20	18	12	6	9	6	5	93	69	42	1027	1026	1025	10	10	10	18	10	-	0.00	 
21	18	11	5	7	5	4	93	66	40	1027	1026	1025	10	10	10	11	3	-	0.00	 
22	21	13	7	9	7	5	93	69	38	1026	1025	1023	-	-	-	11	6	-	0.00	 
23	25	18	10	12	9	6	82	56	36	1023	1019	1013	10	10	10	18	11	35	0.00	 
24	24	19	15	16	14	13	100	80	50	1012	1010	1009	10	10	6	32	18	50	0.00	Rain , Thunderstorm
25	16	13	12	12	12	10	100	85	72	1017	1014	1011	10	10	10	32	19	47	0.00	Rain
26	19	16	12	14	13	12	100	89	73	1023	1020	1017	10	9	6	18	14	-	0.00	Rain
27	23	16	9	16	13	9	100	86	64	1023	1020	1017	10	4	0	11	6	-	0.00	Fog
28	24	18	13	16	14	13	100	85	57	1018	1017	1016	10	9	7	11	8	-	0.00	 
29	23	18	14	17	16	13	100	90	69	1017	1016	1015	10	9	5	14	6	-	0.00	Rain , Thunderstorm
30	21	17	14	17	14	12	100	81	60	1016	1014	1011	10	10	10	29	16	-	0.00	Rain
31	24	17	11	16	13	11	100	78	50	1018	1017	1016	10	10	10	21	11	-	0.00	 
1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Aug	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	26	20	14	16	15	13	94	70	47	1019	1017	1016	10	10	10	14	11	-	0.00	 
2	23	19	15	19	16	14	100	89	73	1021	1019	1017	10	9	4	18	11	-	0.00	Rain , Thunderstorm
3	18	16	12	16	13	10	94	86	68	1025	1023	1021	10	8	5	18	11	-	0.00	Rain
4	18	14	10	10	9	7	94	75	52	1025	1024	1023	10	10	10	21	10	-	0.00	 
5	17	12	8	11	9	8	100	80	59	1022	1021	1019	10	10	10	26	10	-	0.00	 
6	17	12	7	11	10	7	100	87	63	1020	1019	1018	10	7	0	11	6	-	0.00	Fog
7	20	14	9	13	11	8	100	83	56	1020	1019	1018	10	8	6	11	5	-	0.00	 
8	22	16	10	14	12	10	100	76	53	1019	1018	1017	10	10	10	11	8	-	0.00	 
9	24	17	11	16	12	10	100	76	50	1019	1019	1018	10	7	3	18	6	-	0.00	Fog
10	25	18	10	14	11	10	100	66	39	1018	1016	1013	10	10	10	18	11	-	0.00	 
11	21	16	12	17	14	11	100	86	73	1012	1011	1010	10	5	1	14	11	-	0.00	Rain , Thunderstorm
12	20	17	13	16	14	13	100	91	68	1011	1010	1009	10	5	0	29	11	-	0.00	Fog , Rain
13	21	17	13	14	13	11	100	82	53	1013	1012	1011	10	10	8	18	13	-	0.00	Rain
14	16	13	12	15	13	11	100	93	82	1013	1012	1012	10	9	5	18	11	-	0.00	Rain
15	20	17	13	15	14	12	100	89	68	1017	1015	1014	10	9	5	18	11	-	0.00	Rain
16	19	16	12	16	14	12	100	93	77	1020	1017	1016	10	9	5	26	13	-	0.00	Rain
17	19	16	12	15	14	12	100	89	77	1023	1021	1020	10	10	8	26	13	-	0.00	Rain
