1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-11	-13	-15	-13	-15	-17	92	86	79	1020	1019	1018	5	4	2	14	6	-	0.00	Snow
2	-8	-10	-11	-10	-11	-13	93	88	79	1023	1021	1019	5	4	2	18	6	-	0.00	Snow
3	-5	-8	-10	-5	-8	-12	100	91	79	1019	1013	1009	8	5	0	26	21	-	0.00	Fog , Snow
4	-2	-3	-5	-2	-4	-5	100	99	93	1009	1004	1001	2	1	0	14	11	-	0.00	Fog , Rain , Snow
5	-3	-6	-8	-3	-6	-9	100	96	93	1014	1008	1002	6	2	1	11	5	-	0.00	Snow
6	-8	-9	-10	-9	-10	-11	100	94	86	1021	1019	1014	9	4	0	11	5	-	0.00	Fog , Snow
7	-8	-10	-11	-9	-11	-12	100	94	92	1021	1020	1019	1	1	0	6	3	-	0.00	Fog , Snow
8	-5	-7	-8	-5	-7	-9	100	96	93	1019	1014	1009	5	1	0	3	0	-	0.00	Fog , Snow
9	-2	-4	-6	-3	-4	-7	100	96	86	1009	1007	1006	5	2	0	3	2	-	0.00	Fog , Snow
10	-2	-3	-3	-2	-3	-4	100	94	93	1021	1015	1009	3	1	0	3	3	-	0.00	Fog , Snow
11	-2	-3	-4	-3	-4	-5	100	95	93	1029	1025	1021	10	3	1	3	3	-	0.00	Snow
12	-4	-7	-8	-5	-7	-9	100	90	80	1032	1030	1029	10	9	5	6	5	-	0.00	 
13	-8	-10	-11	-9	-11	-12	100	93	86	1031	1030	1028	6	2	0	6	3	-	0.00	Fog
14	-7	-10	-12	-9	-11	-13	100	91	85	1029	1029	1027	2	1	0	6	0	-	0.00	Fog
15	-5	-8	-10	-6	-8	-12	93	92	86	1029	1027	1026	2	0	0	0	0	-	0.00	Fog
16	-8	-9	-10	-9	-9	-12	93	92	86	1026	1025	1024	1	0	0	0	0	-	0.00	Fog
17	-7	-9	-10	-8	-10	-11	93	93	86	1024	1022	1021	2	1	0	6	2	-	0.00	Fog
18	-5	-7	-9	-6	-8	-10	100	94	86	1022	1021	1020	3	1	0	6	2	-	0.00	Fog , Rain
19	-2	-4	-7	-3	-5	-8	100	96	93	1019	1017	1015	8	2	0	6	2	-	0.00	Fog , Rain
